akka-stream-alpakka-google-cloud-pub-sub,,210,288,355,263,246,311,492,737,695,619,767,555
,
akka-stream-alpakka-google-cloud-pub-sub-grpc,2.11,16,13,22,3,3,5,15,5,15,11,4,9
akka-stream-alpakka-google-cloud-pub-sub-grpc,2.12,203,215,157,117,169,128,169,233,146,114,130,113
akka-stream-alpakka-google-cloud-pub-sub-grpc,2.13,0,0,0,0,0,0,0,0,0,0,6,11
akka-stream-alpakka-google-cloud-pub-sub-grpc,,219,228,179,120,172,133,184,238,161,125,140,133
,
akka-stream-alpakka-google-cloud-storage,2.11,0,0,0,0,0,0,0,0,0,0,0,0
akka-stream-alpakka-google-cloud-storage,2.12,0,0,0,0,0,0,41,34,156,133,129,144
akka-stream-alpakka-google-cloud-storage,2.13,0,0,0,0,0,0,18,14,8,15,14,41
akka-stream-alpakka-google-cloud-storage,,0,0,0,0,0,0,59,48,164,148,143,185
,
akka-stream-alpakka-google-fcm,2.11,22,22,36,18,14,18,66,22,33,16,21,45
akka-stream-alpakka-google-fcm,2.12,34,56,209,349,313,208,512,244,191,157,143,212
akka-stream-alpakka-google-fcm,2.13,0,0,0,0,0,0,0,0,0,0,7,15
akka-stream-alpakka-google-fcm,,56,78,245,367,327,226,578,266,224,173,171,272
,
akka-stream-alpakka-hbase,2.11,30,49,74,20,19,33,104,25,45,32,28,52
akka-stream-alpakka-hbase,2.12,39,53,86,37,38,50,109,39,57,45,52,63
akka-stream-alpakka-hbase,2.13,0,0,0,0,0,0,18,11,10,14,12,17
akka-stream-alpakka-hbase,,69,102,160,57,57,83,231,75,112,91,92,132
,
akka-stream-alpakka-hdfs,2.11,28,27,42,40,22,30,68,33,35,33,28,47
akka-stream-alpakka-hdfs,2.12,57,72,72,72,71,66,102,47,167,78,64,92
akka-stream-alpakka-hdfs,2.13,0,0,0,0,0,0,0,0,0,0,12,15
akka-stream-alpakka-hdfs,,85,99,114,112,93,96,170,80,202,111,104,154
,
akka-stream-alpakka-influxdb,2.11,0,0,0,0,0,0,0,0,0,0,0,0
akka-stream-alpakka-influxdb,2.12,0,0,0,0,0,0,28,26,37,52,43,57
